period_id_3d,start_date,high_total,low_total,middle_total,total_sum,high_p,middle_p,low_p
0,2022-10-14,167.0,159.0,214.0,540.0,0.30925925925925923,0.3912962962962963,0.29444444444444445
1,2022-10-21,3.0,8.0,11.0,22.0,0.13636363636363635,0.5,0.36363636363636365
2,2022-10-28,25.0,34.0,38.0,97.0,0.25773195876288657,0.3917525773195876,0.35051546391752575
3,2022-11-04,32.0,26.0,57.0,115.0,0.2782608695652174,0.4956521739130435,0.22608695652173913
4,2022-11-11,6.0,6.0,15.0,27.0,0.2222222222222222,0.5555555555555556,0.2222222222222222
5,2022-11-20,4.0,4.0,10.0,18.0,0.2222222222222222,0.5555555555555556,0.2222222222222222
6,2022-11-25,777.0,631.0,1119.0,2527.0,0.3074792243767313,0.44281757024139295,0.24970320538187574
7,2022-12-02,473.0,393.0,708.0,1574.0,0.3005082592121982,0.4498094027954257,0.2496823379923761
8,2022-12-09,79.0,102.0,207.0,388.0,0.2036082474226804,0.5335051546391752,0.26288659793814434
9,2022-12-16,157.0,195.0,408.0,760.0,0.20657894736842106,0.5368421052631579,0.2565789473684211
10,2022-12-23,160.0,177.0,521.0,858.0,0.1864801864801865,0.6072261072261073,0.2062937062937063
11,2022-12-30,137.0,142.0,367.0,646.0,0.21207430340557276,0.5681114551083591,0.21981424148606812
12,2023-01-06,91.0,113.0,293.0,497.0,0.18309859154929578,0.5895372233400402,0.22736418511066397
13,2023-01-13,72.0,83.0,198.0,353.0,0.20396600566572237,0.5609065155807366,0.23512747875354106
