period_id_3d,start_date,high_total,low_total,middle_total,total_sum,high_p,middle_p,low_p
0,2022-10-14,167.0,158.0,214.0,539.0,0.3098330241187384,0.3970315398886827,0.29313543599257885
1,2022-10-21,3.0,8.0,11.0,22.0,0.13636363636363635,0.5,0.36363636363636365
2,2022-10-28,25.0,34.0,38.0,97.0,0.25773195876288657,0.3917525773195876,0.35051546391752575
3,2022-11-04,33.0,24.0,58.0,115.0,0.28695652173913044,0.5043478260869565,0.20869565217391303
4,2022-11-11,5.0,3.0,16.0,24.0,0.20833333333333334,0.6666666666666666,0.125
5,2022-11-20,4.0,4.0,10.0,18.0,0.2222222222222222,0.5555555555555556,0.2222222222222222
6,2022-11-25,780.0,626.0,1100.0,2506.0,0.3112529928172386,0.4389465283320032,0.24980047885075818
7,2022-12-02,473.0,394.0,704.0,1571.0,0.3010821133036283,0.4481222151495863,0.2507956715467855
8,2022-12-09,79.0,102.0,206.0,387.0,0.2041343669250646,0.5322997416020672,0.26356589147286824
9,2022-12-16,157.0,194.0,408.0,759.0,0.20685111989459815,0.5375494071146245,0.25559947299077734
10,2022-12-23,161.0,174.0,521.0,856.0,0.18808411214953272,0.6086448598130841,0.20327102803738317
11,2022-12-30,137.0,142.0,366.0,645.0,0.2124031007751938,0.5674418604651162,0.22015503875968992
12,2023-01-06,91.0,113.0,293.0,497.0,0.18309859154929578,0.5895372233400402,0.22736418511066397
13,2023-01-13,72.0,82.0,198.0,352.0,0.20454545454545456,0.5625,0.23295454545454544
