period_id_3d,start_date,yes_total,no_total,total_sum,risk_p,norisk_p
57,2022-12-10,7.0,3.0,10.0,0.7,0.3
58,2022-12-11,6.0,3.0,9.0,0.6666666666666666,0.3333333333333333
59,2022-12-12,5.0,1.0,6.0,0.8333333333333334,0.16666666666666666
60,2022-12-13,5.0,0.0,5.0,1.0,0.0
61,2022-12-14,7.0,0.0,7.0,1.0,0.0
62,2022-12-15,14.0,11.0,25.0,0.56,0.44
63,2022-12-16,32.0,63.0,95.0,0.3368421052631579,0.6631578947368421
64,2022-12-17,10.0,8.0,18.0,0.5555555555555556,0.4444444444444444
65,2022-12-18,12.0,0.0,12.0,1.0,0.0
66,2022-12-19,13.0,0.0,13.0,1.0,0.0
67,2022-12-20,8.0,0.0,8.0,1.0,0.0
68,2022-12-21,10.0,4.0,14.0,0.7142857142857143,0.2857142857142857
69,2022-12-22,20.0,0.0,20.0,1.0,0.0
70,2022-12-23,26.0,0.0,26.0,1.0,0.0
71,2022-12-24,25.0,0.0,25.0,1.0,0.0
72,2022-12-25,24.0,1.0,25.0,0.96,0.04
73,2022-12-26,29.0,0.0,29.0,1.0,0.0
74,2022-12-27,21.0,1.0,22.0,0.9545454545454546,0.045454545454545456
75,2022-12-28,29.0,1.0,30.0,0.9666666666666667,0.03333333333333333
76,2022-12-29,30.0,1.0,31.0,0.967741935483871,0.03225806451612903
77,2022-12-30,29.0,0.0,29.0,1.0,0.0
78,2022-12-31,17.0,0.0,17.0,1.0,0.0
79,2023-01-01,12.0,1.0,13.0,0.9230769230769231,0.07692307692307693
80,2023-01-02,23.0,0.0,23.0,1.0,0.0
81,2023-01-03,27.0,1.0,28.0,0.9642857142857143,0.03571428571428571
82,2023-01-04,28.0,1.0,29.0,0.9655172413793104,0.034482758620689655
83,2023-01-05,20.0,0.0,20.0,1.0,0.0
84,2023-01-06,24.0,2.0,26.0,0.9230769230769231,0.07692307692307693
85,2023-01-07,23.0,0.0,23.0,1.0,0.0
86,2023-01-08,25.0,0.0,25.0,1.0,0.0
87,2023-01-09,45.0,1.0,46.0,0.9782608695652174,0.021739130434782608
88,2023-01-10,29.0,0.0,29.0,1.0,0.0
89,2023-01-11,28.0,1.0,29.0,0.9655172413793104,0.034482758620689655
90,2023-01-12,17.0,0.0,17.0,1.0,0.0
91,2023-01-13,14.0,1.0,15.0,0.9333333333333333,0.06666666666666667
92,2023-01-14,24.0,0.0,24.0,1.0,0.0
93,2023-01-15,11.0,1.0,12.0,0.9166666666666666,0.08333333333333333
94,2023-01-16,11.0,0.0,11.0,1.0,0.0
95,2023-01-17,17.0,1.0,18.0,0.9444444444444444,0.05555555555555555
96,2023-01-18,11.0,0.0,11.0,1.0,0.0
