period_id_3d,start_date,yes_total,no_total,total_sum,risk_p,norisk_p
0,2022-10-14,322.0,3.0,325.0,0.9907692307692307,0.009230769230769232
1,2022-10-15,11.0,0.0,11.0,1.0,0.0
2,2022-10-16,3.0,0.0,3.0,1.0,0.0
3,2022-10-17,6.0,0.0,6.0,1.0,0.0
4,2022-10-18,1.0,0.0,1.0,1.0,0.0
5,2022-10-19,2.0,0.0,2.0,1.0,0.0
7,2022-10-21,1.0,0.0,1.0,1.0,0.0
8,2022-10-22,1.0,0.0,1.0,1.0,0.0
11,2022-10-25,1.0,0.0,1.0,1.0,0.0
12,2022-10-26,1.0,0.0,1.0,1.0,0.0
13,2022-10-27,1.0,0.0,1.0,1.0,0.0
14,2022-10-28,1.0,0.0,1.0,1.0,0.0
15,2022-10-29,1.0,0.0,1.0,1.0,0.0
16,2022-10-30,1.0,17.0,18.0,0.05555555555555555,0.9444444444444444
17,2022-10-31,1.0,0.0,1.0,1.0,0.0
18,2022-11-01,3.0,0.0,3.0,1.0,0.0
19,2022-11-02,1.0,0.0,1.0,1.0,0.0
20,2022-11-03,3.0,1.0,4.0,0.75,0.25
21,2022-11-04,3.0,1.0,4.0,0.75,0.25
22,2022-11-05,4.0,0.0,4.0,1.0,0.0
24,2022-11-07,16.0,0.0,16.0,1.0,0.0
25,2022-11-08,8.0,0.0,8.0,1.0,0.0
26,2022-11-09,2.0,0.0,2.0,1.0,0.0
28,2022-11-11,1.0,0.0,1.0,1.0,0.0
29,2022-11-12,3.0,0.0,3.0,1.0,0.0
30,2022-11-13,3.0,0.0,3.0,1.0,0.0
31,2022-11-14,2.0,0.0,2.0,1.0,0.0
32,2022-11-15,7.0,2.0,9.0,0.7777777777777778,0.2222222222222222
33,2022-11-16,8.0,0.0,8.0,1.0,0.0
34,2022-11-17,3.0,0.0,3.0,1.0,0.0
35,2022-11-18,1.0,0.0,1.0,1.0,0.0
36,2022-11-19,2.0,0.0,2.0,1.0,0.0
37,2022-11-20,4.0,0.0,4.0,1.0,0.0
38,2022-11-21,1.0,0.0,1.0,1.0,0.0
41,2022-11-24,1.0,3.0,4.0,0.25,0.75
42,2022-11-25,5.0,2.0,7.0,0.7142857142857143,0.2857142857142857
43,2022-11-26,1.0,2.0,3.0,0.3333333333333333,0.6666666666666666
44,2022-11-27,4.0,1.0,5.0,0.8,0.2
45,2022-11-28,9.0,0.0,9.0,1.0,0.0
46,2022-11-29,4.0,0.0,4.0,1.0,0.0
47,2022-11-30,6.0,0.0,6.0,1.0,0.0
48,2022-12-01,264.0,205.0,469.0,0.5628997867803838,0.43710021321961623
49,2022-12-02,85.0,13.0,98.0,0.8673469387755102,0.1326530612244898
50,2022-12-03,38.0,8.0,46.0,0.8260869565217391,0.17391304347826086
51,2022-12-04,13.0,2.0,15.0,0.8666666666666667,0.13333333333333333
52,2022-12-05,13.0,3.0,16.0,0.8125,0.1875
53,2022-12-06,12.0,0.0,12.0,1.0,0.0
54,2022-12-07,6.0,3.0,9.0,0.6666666666666666,0.3333333333333333
55,2022-12-08,18.0,1.0,19.0,0.9473684210526315,0.05263157894736842
56,2022-12-09,5.0,3.0,8.0,0.625,0.375
